id;name;type;date_given;side_effects;target_age;status;treatment
1;punctuation;eek generously grok;2025-04-02;readily crossly carelessly;18890;nor;tenant precedent garage
2;fat outnumber at;reluctantly;2025-04-02;aha;11901;zowie insidious knottily;hospitable courageous oh
3;tentacle perfectly justly;yet off;2025-04-02;popularize pfft;8482;agile;aw
4;critical through now;after;2025-04-02;down saw candid;19070;given merit;zebra
5;expensive where sorrowful;honorable divine;2025-04-02;now parody;20016;provided fooey;intelligent
6;purple cow;unibody optimal;2025-04-02;however about than;25094;scarily pace descent;commonly formation
7;jut energetic;whoa fabricate;2025-04-02;or;21924;aftermath barring;as shrilly
8;meh;quaintly cannon;2025-04-02;meanwhile amidst;8789;detective;oof brr
9;fully atrium;emergent er uh-huh;2025-04-02;geez married cooperative;4009;briskly;ruin huzzah casement
10;uh-huh finally someplace;rarely;2025-04-02;crocodile strictly guilt;11849;fooey hmph;scotch actually
